,opened_emails,age_in_days,webinar_enrollments,course_enrollments,is_referrer_bing,is_referrer_facebook,is_ndop,is_catalog_all,is_robotics,is_referrer_cbsi,is_business,is_referrer_infomoney,is_referrer_catracalivre,is_jobs,is_catalog_nanodegrees,is_checkout,is_mobile,is_tech_requirements,is_contact,is_referrer_anhanguera,is_success,is_us,is_legal,is_referrer_instagram,is_fcop_ud,is_payment,is_referrer_linkedin,is_signin,is_referrer_tecmundo,is_hire_talent,is_home,is_ai,is_fcop_st,is_drive,is_50back,is_fcop_cs,is_event,is_android,is_referrer_google,is_referrer_android,is_referrer_computerworld,is_referrer_live,is_nanodegree_home,count_visits,is_referrer_github,is_paying_student
24,108,303,0,0,0,0,9,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,3,4,0,0,1,19,0,0
25,193,329,1,2,0,1,1,18,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,12,0,0,2,0,0,8,0,0,0,0,0,18,0,2,3,0,0,6,70,0,0
26,214,309,0,15,0,5,21,66,1,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,108,0,0,9,0,0,102,0,7,0,0,11,28,1,1,9,0,27,15,414,4,0
27,17,273,1,35,0,0,150,58,0,0,0,0,0,1,25,11,23,0,0,0,0,0,0,0,152,0,0,12,0,0,99,0,0,0,1,11,12,0,31,17,0,0,58,613,3,0
28,22,255,0,0,0,2,11,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,4,0,0,0,3,27,0,0
29,76,369,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,181,0,0,363,0,0,0,0,6,0,0,1,4,0,0,187,769,0,0
30,6,281,0,2,0,0,5,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,32,0,0,68,1,0,0,0,5,0,0,3,0,0,0,32,159,0,0
31,319,404,2,6,0,2,12,23,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,33,0,0,20,0,0,124,1,0,0,1,4,8,0,5,0,0,0,28,271,4,0
32,70,247,1,1,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,2,0,0,0,0,0,4,0,4,0,0,0,1,16,0,0
33,22,244,1,0,0,0,2,2,0,0,0,0,0,0,2,0,12,0,0,0,0,0,0,0,0,0,0,2,0,0,5,1,0,0,0,0,4,0,4,0,0,0,5,25,0,0
34,25,297,0,6,0,1,7,18,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,27,1,0,1,0,0,0,0,8,3,0,0,8,85,0,0
35,233,399,2,8,0,2,27,17,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,14,0,0,17,0,0,28,0,2,1,0,4,61,0,14,2,0,0,40,236,1,0
36,82,394,0,4,0,3,19,6,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,11,0,0,16,0,0,175,1,0,0,0,0,5,1,3,2,0,5,20,262,0,0
37,121,395,0,1,0,1,15,10,0,0,2,0,0,1,7,1,0,0,0,0,0,1,0,0,9,1,0,9,1,2,44,0,0,0,0,0,10,0,6,0,0,0,21,140,1,0
38,122,406,0,16,0,0,65,151,0,0,0,0,0,0,29,10,0,0,0,0,0,2,0,0,137,0,0,23,0,1,414,0,3,0,0,14,12,12,22,32,0,0,65,960,1,0
39,75,395,0,11,0,1,158,11,1,0,0,0,0,2,12,6,0,0,3,0,0,0,0,0,20,34,0,20,0,0,72,8,0,7,0,5,10,0,42,2,1,29,72,474,0,0
40,134,296,1,1,0,8,44,22,0,1,0,0,0,3,15,2,0,0,0,0,1,0,0,0,17,0,0,10,1,0,35,0,0,0,1,0,14,0,12,0,0,0,29,196,0,0
41,165,406,0,0,0,0,3,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,3,0,0,0,0,0,2,0,2,1,0,0,4,24,0,0
42,58,349,0,25,0,5,58,11,0,0,1,0,0,0,3,7,0,0,0,0,0,0,0,0,51,1,0,14,0,0,123,1,1,0,2,3,6,0,34,0,0,0,22,310,1,0
43,26,355,0,13,0,0,13,38,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,22,0,0,17,0,0,47,0,0,0,0,2,1,0,16,0,0,0,15,173,0,0
44,169,230,1,23,0,1,53,27,1,0,0,0,0,4,10,5,0,0,1,0,0,0,0,0,103,0,0,14,0,0,54,1,3,2,1,13,10,0,41,2,0,0,22,342,0,0
45,38,349,0,4,0,10,45,15,0,0,0,0,8,1,4,14,0,0,4,0,0,0,1,0,8,0,0,6,0,0,30,0,0,0,4,3,1,0,7,2,0,1,24,186,0,0
46,51,213,4,3,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,3,0,0,0,0,0,5,0,1,0,0,0,4,32,0,0
47,166,405,0,3,0,0,16,8,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,9,0,0,6,0,0,35,2,0,0,0,2,10,0,2,4,0,0,17,114,2,0
48,135,212,2,1,0,0,14,16,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,8,0,0,1,0,0,20,1,0,0,0,1,5,0,6,1,0,0,9,93,0,0
49,39,345,0,14,0,0,5,16,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,40,0,0,9,0,0,16,0,0,0,1,2,0,0,3,3,0,0,7,110,0,0
50,87,381,0,12,0,6,44,12,1,1,1,0,0,2,7,11,0,0,1,0,0,0,1,0,36,0,0,13,0,0,41,0,2,0,2,1,5,0,10,0,0,0,21,219,0,0
51,59,371,1,27,0,3,22,25,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,16,0,0,19,0,0,53,0,1,0,0,1,22,1,19,1,0,0,25,205,0,0
52,53,406,0,4,0,0,5,11,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,11,0,0,26,0,0,0,0,1,2,0,8,5,0,0,11,80,0,0
53,83,316,3,0,0,0,31,4,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,7,0,0,9,0,0,0,0,0,5,2,11,6,0,0,13,83,0,1
54,90,256,0,6,0,0,12,11,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,14,0,0,4,0,0,7,1,0,0,0,1,4,0,7,2,0,0,5,65,0,0
55,35,197,0,5,0,0,21,10,0,0,0,0,0,1,15,4,0,0,0,0,0,0,1,0,8,1,0,4,0,1,19,0,1,0,1,1,2,0,0,0,0,0,9,119,0,0
56,98,191,1,4,0,0,22,3,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,2,0,0,7,0,0,10,0,0,0,0,0,3,0,6,0,0,0,17,83,0,0
57,155,252,2,13,0,0,58,15,0,0,0,0,0,0,2,8,0,0,1,0,0,0,0,0,20,0,0,16,0,0,133,5,0,0,1,2,19,0,12,0,0,0,23,318,0,0
58,24,190,1,0,0,1,5,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,2,0,0,3,0,0,0,0,1,2,0,0,0,0,0,0,21,0,0
59,5,402,1,73,0,23,121,51,0,0,0,0,1,5,31,62,193,0,3,0,0,2,0,4,50,0,0,18,0,0,157,2,2,0,2,9,3,0,5,6,0,0,71,617,0,0
60,231,316,0,26,0,7,131,21,0,0,0,0,0,3,6,8,73,0,0,0,0,1,1,0,37,0,0,16,0,1,83,0,1,2,4,6,13,0,5,2,0,0,85,476,0,0
61,125,246,1,6,0,0,17,14,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,7,0,0,28,0,0,94,0,0,0,0,0,2,0,9,0,0,0,17,189,0,0
62,5,354,0,8,14,13,53,12,0,0,0,0,4,1,2,17,0,0,4,0,0,0,1,0,14,0,0,27,0,1,130,3,0,1,4,1,1,0,77,1,1,0,55,350,0,0
63,93,396,2,15,0,0,20,14,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,18,0,0,7,0,0,27,0,0,0,0,3,5,0,24,0,0,5,15,118,0,0
64,32,192,0,1,0,0,1,40,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,79,0,0,1,0,0,4,0,0,0,0,0,0,0,2,0,0,0,3,134,0,0
65,49,185,2,5,0,0,21,8,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,16,0,0,11,0,0,17,0,0,0,0,1,4,2,13,10,0,0,17,107,0,0
66,22,389,0,2,0,1,1,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,11,0,1,0,0,7,3,0,11,0,0,0,8,52,0,0
67,51,287,0,1,0,0,67,17,0,0,0,0,0,1,9,9,0,0,0,0,0,0,0,0,8,0,0,5,0,0,47,13,0,0,2,1,2,0,18,0,0,0,40,250,0,0
68,73,175,0,4,0,0,68,20,0,0,0,0,0,0,13,2,0,0,0,0,0,1,0,0,34,0,0,5,0,0,89,3,2,0,0,3,3,0,5,0,0,0,35,295,0,0
69,78,406,2,6,0,0,17,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,9,0,0,8,0,0,0,0,0,1,0,6,1,0,0,9,54,1,0
70,10,172,0,6,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,3,12,0,0
71,33,394,0,2,1,0,24,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,2,0,11,2,0,1,0,0,0,0,5,0,0,0,24,75,0,0
72,79,170,0,0,0,0,7,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,2,0,0,1,0,0,1,0,0,1,1,0,0,2,16,20,0,0,3,31,0,0
73,34,169,0,3,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,4,0,0,10,0,0,0,0,0,1,0,6,2,0,0,5,33,0,0
74,34,169,0,3,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,4,0,0,10,0,0,0,0,0,1,0,6,2,0,0,5,33,0,0
