trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
61,False,"{'a': 0.35, 'e': 0.0709764926595722}",20,8,24.67774042705482,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.35, 'e': 0.06872403253989431}",30,19,15.64354417938913,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.35, 'e': 0.06658142619654231}",25,1,13.615575810342104,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 0}",1
64,False,"{'a': 0.35, 'e': 0.064543315997624}",25,5,19.81799593485722,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.35, 'e': 0.0626046056060379}",25,6,31.692655138506325,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.35, 'e': 0.060760447235975894}",20,0,32.72055197594565,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
67,False,"{'a': 0.35, 'e': 0.059006229530933645}",25,1,32.694944119102225,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.35, 'e': 0.05733756603291734}",20,12,15.588621492966926,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.35, 'e': 0.05575028421401394}",20,0,-6.5947725598897176,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
70,False,"{'a': 0.35, 'e': 0.05424041504289802}",20,6,19.60153926204189,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.35, 'e': 0.05280418306018605}",25,8,23.046224066666632,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.35, 'e': 0.05143799693782142}",25,3,34.58624336034389,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.35, 'e': 0.05013844049888365}",30,16,27.234014934924534,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.35, 'e': 0.04890226417536668}",25,13,10.351175280769246,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,21,15.937678954061653,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,16,8.6058147427298,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,8,23.803397408356517,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,32.20757221427778,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,14,9.351452628473266,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",35,12,42.173400312603206,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,18,23.094583545014203,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",35,5,33.491592073236205,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,14,9.981119291901829,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,8,24.460306323618497,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
